CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347.0,1,7,4310.0,0,High Value
12348.0,74,4,1797.24,2,Low Value
12349.0,18,1,1757.55,2,Low Value
12350.0,309,1,334.40000000000003,1,At Risk
12352.0,35,8,2506.04,0,High Value
12353.0,203,1,89.0,1,At Risk
12354.0,231,1,1079.4,1,At Risk
12355.0,213,1,459.4,1,At Risk
12356.0,22,3,2811.43,0,Low Value
12357.0,32,1,6207.67,0,Low Value
12358.0,1,2,1168.06,2,Low Value
12359.0,57,4,6372.58,0,Low Value
12360.0,51,3,2662.06,2,Low Value
12361.0,286,1,189.9,1,At Risk
12362.0,2,10,5226.2300000000005,0,High Value
12363.0,109,2,552.0,2,At Risk
12364.0,7,4,1313.1,2,Low Value
12365.0,290,2,641.38,1,At Risk
12367.0,3,1,168.9,2,Low Value
12370.0,50,4,3545.69,0,Low Value
12371.0,44,2,1887.96,2,Low Value
12372.0,71,3,1298.04,2,Low Value
12373.0,310,1,364.6,1,At Risk
12374.0,24,1,742.9300000000001,2,Low Value
12375.0,10,2,457.5,2,Low Value
12377.0,314,2,1628.12,1,At Risk
12378.0,129,1,4008.62,2,At Risk
12379.0,81,2,852.24,2,Low Value
12380.0,21,4,2724.81,0,Low Value
12381.0,4,5,1845.31,0,Low Value
12383.0,184,5,1850.56,1,At Risk
12384.0,28,2,585.27,2,Low Value
12386.0,337,2,401.9,1,At Risk
12388.0,15,6,2780.6600000000003,0,High Value
12390.0,79,1,549.84,2,Low Value
12391.0,21,1,460.89,2,Low Value
12393.0,71,4,1582.6,2,Low Value
12394.0,63,2,1272.48,2,Low Value
12395.0,18,12,3018.63,0,High Value
12397.0,35,2,2409.9,2,Low Value
12398.0,45,1,1635.66,2,Low Value
12399.0,118,4,1108.65,2,At Risk
12401.0,302,1,84.3,1,At Risk
12402.0,322,1,225.6,1,At Risk
12403.0,49,1,427.7,2,Low Value
12405.0,148,1,1710.39,2,At Risk
12406.0,21,2,3415.3,0,Low Value
12407.0,49,5,1708.12,0,Low Value
12408.0,32,5,2888.55,0,Low Value
12409.0,78,3,11072.67,3,Low Value
12410.0,308,2,693.33,1,At Risk
12412.0,74,3,1226.88,2,Low Value
12413.0,66,3,758.1,2,Low Value
12414.0,216,3,562.4100000000001,1,At Risk
12417.0,2,9,3649.1,0,High Value
12418.0,112,1,668.58,2,At Risk
12420.0,63,1,600.39,2,Low Value
12421.0,15,4,807.04,2,Low Value
12422.0,95,3,803.5600000000001,2,Low Value
12423.0,0,8,1859.31,0,High Value
12424.0,162,2,1760.96,1,At Risk
12425.0,77,1,777.2,2,Low Value
12426.0,194,1,582.73,1,At Risk
12427.0,21,3,825.8000000000001,2,Low Value
12428.0,25,9,7956.46,3,High Value
12429.0,8,4,3750.4,0,Low Value
12430.0,42,1,256.4,2,Low Value
12431.0,35,15,6487.45,3,High Value
12432.0,42,5,5059.32,0,Low Value
12433.0,0,7,13375.87,3,High Value
12434.0,84,2,806.14,2,Low Value
